,timestep,Chord_vector,Chord_label
1262,117.2143,"[10, 10, 4, 4]",A#:sus2
1263,117.3072,"[10, 10, 4, 4]",A#:sus2
1264,117.4001,"[10, 10, 4, 4]",A#:sus2
1265,117.493,"[10, 10, 4, 4]",A#:sus2
1266,117.5859,"[10, 10, 0, 4]",A#:maj
1267,117.6787,"[10, 10, 0, 4]",A#:maj
1268,117.7716,"[10, 10, 5, 4]",A#:sus4
1269,117.8645,"[10, 10, 5, 4]",A#:sus4
1270,117.9574,"[10, 10, 5, 4]",A#:sus4
1271,118.0502,"[10, 10, 5, 4]",A#:sus4
1272,118.1431,"[10, 10, 5, 4]",A#:sus4
1273,118.236,"[5, 10, 5, 4]",N
1274,118.3289,"[5, 5, 5, 4]",F:sus4
1275,118.4218,"[5, 5, 5, 4]",F:sus4
1276,118.5146,"[5, 5, 5, 4]",F:sus4
1277,118.6075,"[5, 5, 5, 4]",F:sus4
1278,118.7004,"[5, 5, 5, 4]",F:sus4
1279,118.7933,"[5, 5, 5, 4]",F:sus4
1280,118.8862,"[5, 5, 5, 4]",F:sus4
1281,118.979,"[5, 5, 5, 4]",F:sus4
1282,119.0719,"[5, 5, 5, 4]",F:sus4
1283,119.1648,"[5, 5, 5, 4]",F:sus4
1284,119.2577,"[5, 5, 5, 4]",F:sus4
1285,119.3506,"[5, 5, 5, 4]",F:sus4
1286,119.4434,"[5, 5, 5, 4]",F:sus4
1287,119.5363,"[5, 5, 5, 4]",F:sus4
1288,119.6292,"[5, 5, 5, 4]",F:sus4
1289,119.7221,"[5, 5, 5, 4]",F:sus4
1290,119.815,"[5, 5, 5, 4]",F:sus4
1291,119.9078,"[5, 5, 5, 4]",F:sus4
1292,120.0007,"[5, 5, 5, 4]",F:sus4
1293,120.0936,"[5, 5, 5, 4]",F:sus4
1294,120.1865,"[5, 5, 5, 4]",F:sus4
1295,120.2794,"[5, 5, 5, 4]",F:sus4
1296,120.3722,"[5, 5, 5, 4]",F:sus4
1297,120.4651,"[5, 5, 0, 4]",F:maj
1298,120.558,"[5, 5, 0, 4]",F:maj
1299,120.6509,"[5, 5, 0, 4]",F:maj
